,년도,월,count
860,2018,1,1
861,2018,1,1
862,2018,1,1
863,2018,1,1
864,2018,1,1
865,2018,1,1
866,2018,1,1
867,2018,1,1
868,2018,1,1
869,2018,12,1
870,2018,10,1
871,2018,10,1
872,2018,10,1
873,2018,11,1
874,2018,11,1
875,2018,11,1
876,2018,11,1
877,2018,11,1
878,2018,11,1
879,2018,11,1
880,2018,11,1
881,2018,11,1
882,2018,11,1
883,2018,11,1
884,2018,11,1
885,2018,10,1
886,2018,11,1
887,2018,11,1
888,2018,11,1
889,2018,11,1
890,2018,11,1
891,2018,11,1
892,2018,11,1
893,2018,11,1
894,2018,11,1
895,2018,11,1
896,2018,11,1
897,2018,11,1
898,2018,11,1
899,2018,11,1
900,2018,12,1
901,2018,12,1
902,2018,12,1
903,2018,12,1
904,2018,12,1
905,2018,12,1
906,2018,12,1
907,2018,12,1
908,2018,12,1
909,2018,12,1
910,2018,12,1
911,2018,12,1
912,2018,12,1
913,2018,12,1
914,2018,12,1
915,2018,12,1
916,2018,12,1
917,2018,11,1
918,2018,11,1
919,2018,11,1
920,2018,11,1
921,2018,11,1
922,2018,11,1
923,2018,11,1
924,2018,11,1
925,2018,11,1
926,2018,11,1
927,2018,11,1
928,2018,11,1
929,2018,11,1
930,2018,11,1
931,2018,11,1
932,2018,11,1
933,2018,11,1
934,2018,11,1
935,2018,11,1
936,2018,11,1
937,2018,11,1
938,2018,10,1
939,2018,10,1
940,2018,10,1
941,2018,10,1
942,2018,10,1
943,2018,10,1
944,2018,10,1
945,2018,10,1
946,2018,11,1
947,2018,11,1
948,2018,11,1
949,2018,11,1
950,2018,11,1
951,2018,11,1
952,2018,11,1
953,2018,11,1
954,2018,11,1
955,2018,11,1
956,2018,11,1
957,2018,11,1
958,2018,11,1
959,2018,11,1
960,2018,11,1
961,2018,11,1
962,2018,11,1
963,2018,11,1
964,2018,11,1
965,2018,11,1
966,2018,11,1
967,2018,11,1
968,2018,11,1
969,2018,11,1
970,2018,11,1
971,2019,2,6
972,2019,11,6
973,2019,10,6
974,2019,11,6
975,2019,12,5
976,2019,3,5
977,2019,12,5
978,2019,2,5
979,2019,2,5
980,2019,5,5
981,2019,5,5
982,2019,12,5
983,2019,4,4
984,2019,4,4
985,2019,11,4
986,2019,11,4
987,2019,2,4
988,2019,2,4
989,2019,1,4
990,2019,5,4
991,2019,6,4
992,2019,6,4
993,2019,1,4
994,2019,5,4
995,2019,10,4
996,2019,1,4
997,2019,1,4
998,2019,11,4
999,2019,10,4
1000,2019,5,4
1001,2019,10,4
1002,2019,3,3
1003,2019,12,3
1004,2019,11,3
1005,2019,11,3
1006,2019,10,3
1007,2019,5,3
1008,2019,1,3
1009,2019,4,3
1010,2019,2,3
1011,2019,2,3
1012,2019,2,3
1013,2019,1,3
1014,2019,4,3
1015,2019,5,3
1016,2019,5,3
1017,2019,12,3
1018,2019,4,3
1019,2019,2,3
1020,2019,3,3
1021,2019,1,3
1022,2019,1,2
1023,2019,5,2
1024,2019,2,2
1025,2019,2,2
1026,2019,1,2
1027,2019,3,2
1028,2019,1,2
1029,2019,1,2
1030,2019,3,1
1031,2019,3,1
1032,2019,3,1
1033,2019,3,1
1034,2019,3,1
1035,2019,3,1
1036,2019,3,1
1037,2019,3,1
1038,2019,3,1
1039,2019,3,1
1040,2019,3,1
1041,2019,3,1
1042,2019,3,1
1043,2019,6,1
1044,2019,6,1
1045,2019,3,1
1046,2019,3,1
1047,2019,3,1
1048,2019,6,1
1049,2019,3,1
1050,2019,3,1
1051,2019,6,1
1052,2019,6,1
1053,2019,3,1
1054,2019,3,1
1055,2019,3,1
1056,2019,3,1
1057,2019,3,1
1058,2019,6,1
1059,2019,5,1
1060,2019,4,1
1061,2019,4,1
1062,2019,5,1
1063,2019,4,1
1064,2019,4,1
1065,2019,5,1
1066,2019,5,1
1067,2019,4,1
1068,2019,5,1
1069,2019,4,1
1070,2019,3,1
1071,2019,4,1
1072,2019,5,1
1073,2019,4,1
1074,2019,5,1
1075,2019,4,1
1076,2019,5,1
1077,2019,5,1
1078,2019,5,1
1079,2019,5,1
1080,2019,4,1
1081,2019,4,1
1082,2019,4,1
1083,2019,5,1
1084,2019,5,1
1085,2019,5,1
1086,2019,5,1
1087,2019,5,1
1088,2019,5,1
1089,2019,5,1
1090,2019,4,1
1091,2019,5,1
1092,2019,5,1
1093,2019,5,1
1094,2019,5,1
